Conference,Year,Title,DOI,Abstract,AuthorNames-Deduped,Award,Accessible,Early
EuroVis,2023,Mini-VLAT: A Short and Effective Measure of Visualization Literacy,10.1111/cgf.14809,"The visualization community regards visualization literacy as a necessary skill. Yet, despite the recent increase in research into visualization literacy by the education and visualization communities, we lack practical and time‐effective instruments for the widespread measurements of people's comprehension and interpretation of visual designs. We present Mini‐VLAT, a brief but practical visualization literacy test. The Mini‐VLAT is a 12‐item short form of the 53‐item Visualization Literacy Assessment Test (VLAT). The Mini‐VLAT is reliable (coefficient omega = 0.72) and strongly correlates with the VLAT. Five visualization experts validated the Mini‐VLAT items, yielding an average content validity ratio (CVR) of 0.6. We further validate Mini‐VLAT by demonstrating a strong positive correlation between study participants' Mini‐VLAT scores and their aptitude for learning an unfamiliar visualization using a Parallel Coordinate Plot test. Overall, the Mini‐VLAT items showed a similar pattern of validity and reliability as the 53‐item VLAT. The results show that Mini‐VLAT is a psychometrically sound and practical short measure of visualization literacy.",Saugat Pandey;Alvitta Ottley,BP,,
EuroVis,2023,ChemoGraph: Interactive Visual Exploration of the Chemical Space,10.1111/cgf.14807,"Exploratory analysis of the chemical space is an important task in the field of cheminformatics. For example, in drug discovery research, chemists investigate sets of thousands of chemical compounds in order to identify novel yet structurally similar synthetic compounds to replace natural products. Manually exploring the chemical space inhabited by all possible molecules and chemical compounds is impractical, and therefore presents a challenge. To fill this gap, we present ChemoGraph, a novel visual analytics technique for interactively exploring related chemicals. In ChemoGraph, we formalize a chemical space as a hypergraph and apply novel machine learning models to compute related chemical compounds. It uses a database to find related compounds from a known space and a machine learning model to generate new ones, which helps enlarge the known space. Moreover, ChemoGraph highlights interactive features that support users in viewing, comparing, and organizing computationally identified related chemicals. With a drug discovery usage scenario and initial expert feedback from a case study, we demonstrate the usefulness of ChemoGraph.",Bharat Kale;Austin Clyde;Maoyuan Sun;Arvind Ramanathan;Rick L. Stevens;Michael E. Papka,HM,,
EuroVis,2023,A Fully Integrated Pipeline for Visual Carotid Morphology Analysis,10.1111/cgf.14808,"Analyzing stenoses of the internal carotids – local constrictions of the artery – is a critical clinical task in cardiovascular disease treatment and prevention. For this purpose, we propose a self‐contained pipeline for the visual analysis of carotid artery geometries. The only inputs are computed tomography angiography (CTA) scans, which are already recorded in clinical routine. We show how integrated model extraction and visualization can help to efficiently detect stenoses and we provide means for automatic, highly accurate stenosis degree computation. We directly connect multiple sophisticated processing stages, including a neural prediction network for lumen and plaque segmentation and automatic global diameter computation. We enable interactive and retrospective user control over the processing stages. Our aims are to increase user trust by making the underlying data validatable on the fly, to decrease adoption costs by minimizing external dependencies, and to optimize scalability by streamlining the data processing. We use interactive visualizations for data inspection and adaption to guide the user through the processing stages. The framework was developed and evaluated in close collaboration with radiologists and neurologists. It has been used to extract and analyze over 100 carotid bifurcation geometries and is built with a modular architecture, available as an extendable open‐source platform.",Pepe Eulzer;Fabienne von Deylen;Chan-Wei Hsu;Ralph Wickenhöfer;Carsten M. Klingner;Kai Lawonn,HM,,
EuroVis,2023,"Doppler Volume Rendering: A Dynamic, Piecewise Linear Spectral Representation for Visualizing Astrophysics Simulations",10.1111/cgf.14810,"We present a novel approach for rendering volumetric data including the Doppler effect of light. Similar to the acoustic Doppler effect, which is caused by relative motion between a sound emitter and an observer, light waves also experience compression or expansion when emitter and observer exhibit relative motion. We account for this by employing spectral volume rendering in an emission–absorption model, with the volumetric matter moving according to an accompanying vector field, and emitting and attenuating light at wavelengths subject to the Doppler effect. By introducing a novel piecewise linearear representation of the involved light spectra, we achieve accurate volume rendering at interactive frame rates. We compare our technique to rendering with traditional point‐based spectral representation, and demonstrate its utility using a simulation of galaxy formation.",Reem Alghamdi;Thomas Müller 0005;Alberto Jaspe Villanueva;Markus Hadwiger;Filip Sadlo,,,
EuroVis,2023,Memory-Efficient GPU Volume Path Tracing of AMR Data Using the Dual Mesh,10.1111/cgf.14811,"A common way to render cell‐centric adaptive mesh refinement (AMR) data is to compute the dual mesh and visualize that with a standard unstructured element renderer. While the dual mesh provides a high‐quality interpolator, the memory requirements of the dual mesh data structure are significantly higher than those of the original grid, which prevents rendering very large data sets. We introduce a GPU‐friendly data structure and a clustering algorithm that allow for efficient AMR dual mesh rendering with a competitive memory footprint. Fundamentally, any off‐the‐shelf unstructured element renderer running on GPUs could be extended to support our data structure just by adding a gridlet element type in addition to the standard tetrahedra, pyramids, wedges, and hexahedra supported by default. We integrated the data structure into a volumetric path tracer to compare it to various state‐of‐the‐art unstructured element sampling methods. We show that our data structure easily competes with these methods in terms of rendering performance, but is much more memory‐efficient.",Stefan Zellmann;Qi Wu 0015;Kwan-Liu Ma;Ingo Wald,,,
EuroVis,2023,xOpat: eXplainable Open Pathology Analysis Tool,10.1111/cgf.14812,"Histopathology research quickly evolves thanks to advances in whole slide imaging (WSI) and artificial intelligence (AI). However, existing WSI viewers are tailored either for clinical or research environments, but none suits both. This hinders the adoption of new methods and communication between the researchers and clinicians. The paper presents xOpat, an open‐source, browser‐based WSI viewer that addresses these problems. xOpat supports various data sources, such as tissue images, pathologists' annotations, or additional data produced by AI models. Furthermore, it provides efficient rendering of multiple data layers, their visual representations, and tools for annotating and presenting findings. Thanks to its modular, protocol‐agnostic, and extensible architecture, xOpat can be easily integrated into different environments and thus helps to bridge the gap between research and clinical practice. To demonstrate the utility of xOpat, we present three case studies, one conducted with a developer of AI algorithms for image segmentation and two with a research pathologist.",Jirí Horák;Katarína Furmanová;Barbora Kozlíková;Tomás Brázdil;Petr Holub;Martin Kacenga;Matej Gallo;Rudolf Nenutil;Jan Byska;Vít Rusnák,,,
EuroVis,2023,Process and Pitfalls of Online Teaching and Learning with Design Study ''Lite'' Methodology: A Retrospective Analysis,10.1111/cgf.14813,"Design studies are an integral method of visualization research with hundreds of instances in the literature. Although taught as a theory, the practical implementation of design studies is often excluded from visualization pedagogy due to the lengthy time commitments associated with such studies. Recent research has addressed this challenge and developed an expedited design study framework, the Design Study “Lite” Methodology (DSLM), which can implement design studies with novice students within just 14 weeks. The framework was developed and evaluated based on five semesters of in‐person data visualization courses with 30 students or less and was implemented in conjunction with Service‐Learning (S‐L). With the growth and popularity of the data visualization field—and the teaching environment created by the COVID‐19 pandemic—more academic institutions are offering visualization courses online. Therefore, in this paper, we strengthen and validate the epistemological foundations of the DSLM framework by testing its (1) adaptability to online learning environments and conditions and (2) scalability to larger classes with up to 57 students. We present two online implementations of the DSLM framework, with and without Service‐Learning (S‐L), to test the adaptability and scalability of the framework. We further demonstrate that the framework can be applied effectively without the S‐L component. We reflect on our experience with the online DSLM implementations and contribute a detailed retrospective analysis using thematic analysis and grounded theory methods to draw valuable recommendations and guidelines for future applications of the framework. This work verifies that DSLM can be used successfully in online classes to teach design study methodology. Finally, we contribute novel additions to the DSLM framework to further enhance it for teaching and learning design studies in the classroom. The preprint and supplementary materials for this paper can be found at https://osf.io/6bjx5/.",Uzma Haque Syeda;Cody Dunne;Michelle A. Borkin,,,
EuroVis,2023,RectEuler: Visualizing Intersecting Sets using Rectangles,10.1111/cgf.14814,"Euler diagrams are a popular technique to visualize set‐typed data. However, creating diagrams using simple shapes remains a challenging problem for many complex, real‐life datasets. To solve this, we propose RectEuler: a flexible, fully‐automatic method using rectangles to create Euler‐like diagrams. We use an efficient mixed‐integer optimization scheme to place set labels and element representatives (e.g., text or images) in conjunction with rectangles describing the sets. By defining appropriate constraints, we adhere to well‐formedness properties and aesthetic considerations. If a dataset cannot be created within a reasonable time or at all, we iteratively split the diagram into multiple components until a drawable solution is found. Redundant encoding of the set membership using dots and set lines improves the readability of the diagram. Our web tool lets users see how the layout changes throughout the optimization process and provides interactive explanations. For evaluation, we perform quantitative and qualitative analysis across different datasets and compare our method to state‐of‐the‐art Euler diagram generation methods.",Patrick Paetzold;Rebecca Kehlbeck;Hendrik Strobelt;Yumeng Xue;Sabine Storandt;Oliver Deussen,,,
EuroVis,2023,Data Stories of Water: Studying the Communicative Role of Data Visualizations within Long-form Journalism,10.1111/cgf.14815,"We present a methodology for making sense of the communicative role of data visualizations in journalistic storytelling and share findings from surveying water‐related data stories. Data stories are a genre of long‐form journalism that integrate text, data visualization, and other visual expressions (e.g., photographs, illustrations, videos) for the purpose of data‐driven storytelling. In the last decade, a considerable number of data stories about a wide range of topics have been published worldwide. Authors use a variety of techniques to make complex phenomena comprehensible and use visualizations as communicative devices that shape the understanding of a given topic. Despite the popularity of data stories, we, as scholars, still lack a methodological framework for assessing the communicative role of visualizations in data stories. To this extent, we draw from data journalism, visual culture, and multimodality studies to propose an interpretative framework in six stages. The process begins with the analysis of content blocks and framing elements and ends with the identification of dimensions, patterns, and relationships between textual and visual elements. The framework is put to the test by analyzing 17 data stories about water‐related issues. Our observations from the survey illustrate how data visualizations can shape the framing of complex topics.",Manuela Garretón;Francesca Morini;Daniela Paz Moyano;Gianna-Carina Grün;Denis Parra,,,
EuroVis,2023,Belief Decay or Persistence? A Mixed-method Study on Belief Movement Over Time,10.1111/cgf.14816,"When individuals encounter new information (data), that information is incorporated with their existing beliefs (prior) to form a new belief (posterior) in a process referred to as belief updating. While most studies on rational belief updating in visual data analysis elicit beliefs immediately after data is shown, we posit that there may be critical movement in an individual's beliefs when elicited immediately after data is shown v. after a temporal delay (e.g., due to forgetfulness or weak incorporation of the data). Our paper investigates the hypothesis that posterior beliefs elicited after a time interval will “decay” back towards the prior beliefs compared to the posterior beliefs elicited immediately after new data is presented. In this study, we recruit 101 participants to complete three tasks where beliefs are elicited immediately after seeing new data and again after a brief distractor task. We conduct (1) a quantitative analysis of the results to understand if there are any systematic differences in beliefs elicited immediately after seeing new data or after a distractor task and (2) a qualitative analysis of participants' reflections on the reasons for their belief update. While we find no statistically significant global trends across the participants beliefs elicited immediately v. after the delay, the qualitative analysis provides rich insight into the reasons for an individual's belief movement across 9 prototypical scenarios, which includes (i) decay of beliefs as a result of either forgetting the information shown or strongly held prior beliefs, (ii) strengthening of confidence in updated beliefs by positively integrating the new data and (iii) maintaining a consistently updated belief over time, among others. These results can guide subsequent experiments to disambiguate when and by what mechanism new data is truly incorporated into one's belief system.",Shrey Gupta;Alireza Karduni;Emily Wall,,,
