doi,title
10.1109/TVCG.2023.3326515,A Parallel Framework for Streaming Dimensionality Reduction
10.1109/TVCG.2023.3326524,Action-Evaluator: A Visualization Approach for Player Action Evaluation in Soccer
10.1109/TVCG.2023.3327396,ARGUS: Visualization of AI-Assisted Task Guidance in AR
10.1109/TVCG.2023.3327163,AttentionViz: A Global View of Transformer Attention
10.1109/TVCG.2023.3327366,Attribute-Aware RBFs: Interactive Visualization of Time Series Particle Volumes Using RT Core Range Queries
10.1109/TVCG.2023.3326925,Calliope-Net: Automatic Generation of Graph Data Facts via Annotated Node-Link Diagrams
10.1109/TVCG.2023.3327376,Causality-Based Visual Analysis of Questionnaire Responses
10.1109/TVCG.2023.3327201,CLAMS: A Cluster Ambiguity Measure for Estimating Perceptual Variability in Visual Clustering
10.1109/TVCG.2023.3327153,CommonsenseVIS: Visualizing and Understanding Commonsense Reasoning Capabilities of Natural Language Models
10.1109/TVCG.2023.3327393,Data Navigator: An Accessibility-Centered Data Navigation Toolkit
10.1109/TVCG.2023.3326594,Dataopsy: Scalable and Fluid Visual Exploration using Aggregate Query Sculpting
10.1109/TVCG.2023.3326571,Designing for Ambiguity in Visual Analytics: Lessons from Risk Assessment and Prediction
10.1109/TVCG.2023.3327371,Differentiable Design Galleries: A Differentiable Approach to Explore the Design Space of Transfer Functions
10.1109/TVCG.2023.3327172,DIVI: Dynamically Interactive Visualization
10.1109/TVCG.2023.3326583,Dupo: A Mixed-Initiative Authoring Tool for Responsive Visualization
